state,state_abbr,gender_group,age_group,population
Louisiana,LA,Both,<18,1103350
Louisiana,LA,Both,18+,3561012
Louisiana,LA,Both,All,4664362
Maine,ME,Female,<18,122670
Maine,ME,Female,18+,558880
Maine,ME,Female,All,681550
Maine,ME,Male,<18,129828
Maine,ME,Male,18+,524114
Maine,ME,Male,All,653942
Maine,ME,Both,<18,252498
Maine,ME,Both,18+,1082994
Maine,ME,Both,All,1335492
Maryland,MD,Female,<18,656872
Maryland,MD,Female,18+,2444363
Maryland,MD,Female,All,3101235
Maryland,MD,Male,<18,684810
Maryland,MD,Male,18+,2232803
Maryland,MD,Male,All,2917613
Maryland,MD,Both,<18,1341682
Maryland,MD,Both,18+,4677166
Maryland,MD,Both,All,6018848
Massachusetts,MA,Female,<18,670893
Massachusetts,MA,Female,18+,2855453
Massachusetts,MA,Female,All,3526346
Massachusetts,MA,Male,<18,700367
Massachusetts,MA,Male,18+,2623840
Massachusetts,MA,Male,All,3324207
Massachusetts,MA,Both,<18,1371260
Massachusetts,MA,Both,18+,5479293
Massachusetts,MA,Both,All,6850553
Michigan,MI,Female,<18,1063288
Michigan,MI,Female,18+,3996737
Michigan,MI,Female,All,5060025
Michigan,MI,Male,<18,1114590
Michigan,MI,Male,18+,3790650
Michigan,MI,Male,All,4905240
Michigan,MI,Both,<18,2177878
Michigan,MI,Both,18+,7787387
Michigan,MI,Both,All,9965265
Minnesota,MN,Female,<18,632696
Minnesota,MN,Female,18+,2159809
Minnesota,MN,Female,All,2792505
Minnesota,MN,Male,<18,663152
Minnesota,MN,Male,18+,2107721
Minnesota,MN,Male,All,2770873
Minnesota,MN,Both,<18,1295848
Minnesota,MN,Both,18+,4267530
Minnesota,MN,Both,All,5563378
Mississippi,MS,Female,<18,348994
Mississippi,MS,Female,18+,1187551
Mississippi,MS,Female,All,1536545
Mississippi,MS,Male,<18,364499
Mississippi,MS,Male,18+,1083374
Mississippi,MS,Male,All,1447873
Mississippi,MS,Both,<18,713493
Mississippi,MS,Both,18+,2270925
